. Bola  Robo
1.000000 0.500000 2.999878 4.999726
1.010000 0.508000 2.999514 4.998903
1.020000 0.516000 2.998908 4.997531
1.030000 0.524000 2.998062 4.995609
1.040000 0.532000 2.996977 4.993136
1.050000 0.540000 2.995655 4.990113
1.060000 0.548000 2.994097 4.986537
1.070000 0.556000 2.992305 4.982410
1.080000 0.564000 2.990279 4.977729
1.090000 0.572000 2.988021 4.972495
1.100000 0.580000 2.985534 4.966707
1.110000 0.588000 2.982817 4.960365
1.120000 0.596000 2.979873 4.953467
1.130000 0.603000 2.976703 4.946013
1.140000 0.611000 2.973309 4.938002
1.150000 0.619000 2.969692 4.929434
1.159000 0.627000 2.965852 4.920309
1.169000 0.635000 2.961792 4.910626
1.179000 0.643000 2.957513 4.900384
1.189000 0.651000 2.953017 4.889582
1.199000 0.659000 2.948307 4.878220
1.209000 0.667000 2.943382 4.866297
1.219000 0.674000 2.938247 4.853812
1.229000 0.682000 2.932901 4.840764
1.239000 0.690000 2.927347 4.827154
1.249000 0.698000 2.921586 4.812980
1.259000 0.706000 2.915619 4.798242
1.269000 0.714000 2.909450 4.782939
1.278000 0.721000 2.903076 4.767071
1.288000 0.729000 2.896503 4.750637
1.298000 0.737000 2.889732 4.733635
1.308000 0.745000 2.882765 4.716066
1.318000 0.753000 2.875604 4.697929
1.328000 0.761000 2.868250 4.679222
1.338000 0.768000 2.860708 4.659945
1.348000 0.776000 2.852978 4.640098
1.357000 0.784000 2.845057 4.619680
1.367000 0.792000 2.836952 4.598691
1.377000 0.799000 2.828667 4.577128
1.387000 0.807000 2.820202 4.554991
1.397000 0.815000 2.811559 4.532280
1.407000 0.823000 2.802742 4.508993
1.416000 0.830000 2.793748 4.485132
1.426000 0.838000 2.784583 4.460694
1.436000 0.846000 2.775250 4.435678
1.446000 0.854000 2.765751 4.410084
1.456000 0.861000 2.756092 4.383910
1.466000 0.869000 2.746272 4.357155
1.475000 0.877000 2.736287 4.329821
1.485000 0.884000 2.726150 4.301905
1.495000 0.892000 2.715860 4.273406
1.505000 0.900000 2.705421 4.244323
1.515000 0.907000 2.694838 4.214653
1.524000 0.915000 2.684104 4.184402
1.534000 0.923000 2.673229 4.153563
1.544000 0.930000 2.662219 4.122135
1.554000 0.938000 2.651076 4.090119
1.564000 0.946000 2.639803 4.057513
1.573000 0.953000 2.628396 4.024318
1.583000 0.961000 2.616866 3.990531
1.593000 0.968000 2.605220 3.956150
1.603000 0.976000 2.593457 3.921175
1.612000 0.984000 2.581573 3.885608
1.622000 0.991000 2.569584 3.849444
1.632000 0.999000 2.557492 3.812681
1.642000 1.006000 2.545305 3.775319
1.651000 1.014000 2.533011 3.737360
1.661000 1.022000 2.520628 3.698799
1.671000 1.029000 2.508164 3.659635
1.680000 1.037000 2.495608 3.619870
1.690000 1.044000 2.482981 3.579499
1.700000 1.052000 2.470287 3.538520
1.710000 1.059000 2.457535 3.496931
1.719000 1.067000 2.444710 3.454737
1.729000 1.074000 2.431841 3.411929
1.739000 1.082000 2.418929 3.368509
1.748000 1.090000 2.405964 3.324478
1.758000 1.097000 2.393116 3.280309
1.768000 1.105000 2.380411 3.236098
1.778000 1.112000 2.367860 3.191843
1.787000 1.120000 2.355442 3.147551
1.797000 1.127000 2.343188 3.103213
1.807000 1.134000 2.331103 3.058829
1.816000 1.142000 2.319165 3.014405
1.826000 1.149000 2.307408 2.969933
1.836000 1.157000 2.295831 2.925414
1.845000 1.164000 2.284425 2.880850
1.855000 1.172000 2.273214 2.836237
1.865000 1.179000 2.262213 2.791572
1.874000 1.187000 2.251395 2.746862
1.884000 1.194000 2.240804 2.702098
1.893000 1.202000 2.230415 2.657287
1.903000 1.209000 2.220271 2.612419
1.913000 1.216000 2.210386 2.567494
1.922000 1.224000 2.200732 2.522518
1.932000 1.231000 2.191361 2.477483
1.942000 1.239000 2.182282 2.432388
1.951000 1.246000 2.173480 2.387238
1.961000 1.253000 2.165010 2.342024
1.970000 1.261000 2.156843 2.296755
1.980000 1.268000 2.149050 2.251420
1.990000 1.275000 2.141655 2.206018
1.999000 1.283000 2.134629 2.160558
2.009000 1.290000 2.128059 2.115030
2.018000 1.297000 2.121925 2.069440
2.028000 1.305000 2.116315 2.023784
2.038000 1.312000 2.111284 1.978060
2.047000 1.319000 2.106819 1.932277
2.057000 1.327000 2.103045 1.886432
2.066000 1.334000 2.099968 1.840535
2.076000 1.341000 2.097763 1.794588
2.085000 1.349000 2.096446 1.748607
2.095000 1.356000 2.096277 1.702607
